Date,Open,High,Low,Close,Volume
21-Jun-21,107.59,108.6,104.12,108.11,"7,878,160"
22-Jun-21,107.45,117.66,107.45,117.17,"13,099,928"
23-Jun-21,116.82,119.61,115.52,117.48,"7,885,899"
24-Jun-21,117.88,124.23,117,121.85,"12,766,994"
25-Jun-21,121.95,122.42,118.83,121.49,"12,474,996"
28-Jun-21,122.07,127.98,121.4,126.92,"11,088,547"
29-Jun-21,125.36,127.16,122.22,125.68,"6,133,905"
30-Jun-21,125.09,125.66,123.37,124.02,"4,378,522"
01-Jul-21,125,126.25,121.31,122.16,"4,687,709"
02-Jul-21,123.09,124.98,120.17,121.6,"3,632,537"
06-Jul-21,121.47,124.07,119.73,123.69,"5,878,569"
07-Jul-21,125.28,129.7,123.2,123.51,"6,399,526"
08-Jul-21,119.86,124.97,118.61,124.06,"5,716,179"
09-Jul-21,123.86,123.98,117.71,117.84,"6,943,378"
12-Jul-21,118.73,121.18,114.54,120.31,"7,372,031"
13-Jul-21,119.57,121.61,118.5,119.85,"4,918,723"
14-Jul-21,116,116.99,113.3,113.36,"10,359,504"
15-Jul-21,111.98,114.71,108.1,111.19,"8,178,350"
16-Jul-21,111.67,111.95,109.26,110.54,"4,593,292"
19-Jul-21,109.99,118.67,109.67,118.43,"9,198,363"
20-Jul-21,124.09,127.57,120.51,126.35,"11,892,924"
21-Jul-21,124.74,127.17,123.28,126.43,"5,117,148"
22-Jul-21,125.73,126.19,119.01,119.67,"6,576,731"
23-Jul-21,119.05,122.97,117.57,121.55,"4,149,450"
26-Jul-21,121.06,123.23,117.75,122.68,"3,238,983"
27-Jul-21,122.85,123.94,117.27,121.36,"4,063,440"
28-Jul-21,121.75,123.6,120.36,121.92,"3,307,116"
29-Jul-21,121.62,123.43,117.91,118.1,"4,039,357"
30-Jul-21,116.1,120.6,115.77,118.05,"4,423,002"
02-Aug-21,117.9,122.69,114.63,120.69,"4,634,594"
03-Aug-21,120.84,122.99,117.91,119.27,"3,712,722"
04-Aug-21,119.54,121.1,118.14,120.93,"3,071,111"
05-Aug-21,119.42,121.36,116.8,120.22,"4,303,300"
06-Aug-21,118.81,121.17,112.65,112.69,"5,631,364"
09-Aug-21,113.11,117.62,111.17,116.58,"5,036,741"
10-Aug-21,115.97,118.24,113.56,113.84,"3,432,891"
11-Aug-21,114.01,115.05,111.86,112.95,"3,833,848"
12-Aug-21,112.92,114.51,111.66,112.64,"2,449,298"
13-Aug-21,112.13,113.08,109.88,110.88,"3,181,209"
16-Aug-21,109.91,111.95,107.19,110,"5,936,135"
17-Aug-21,109.31,113.72,108.53,113.25,"4,644,538"
